tol,t,variant,steps_to_tol,baseline_steps,speedup,steps_saved,per_step_ms
2.0501390683004356e-05,0.2,BaryCDI,170,4015,23.61764705882353,3845,0.8957393858845564
2.0501390683004356e-05,0.2,FFD,110,4015,36.5,3905,0.8937932629190988
2.0501390683004356e-05,0.2,Linear,385,4015,10.428571428571429,3630,0.8943747689921108
2.0501390683004356e-05,0.2,cold,4015,4015,1.0,0,1.1447014248823129
2.0501390683004356e-05,0.3,BaryCDI,225,3955,17.57777777777778,3730,0.8895579842212692
2.0501390683004356e-05,0.3,FFD,145,3955,27.275862068965516,3810,0.8911622442012646
2.0501390683004356e-05,0.3,Linear,630,3955,6.277777777777778,3325,0.8878287412212785
2.0501390683004356e-05,0.3,cold,3955,3955,1.0,0,1.1463235469443103
2.0501390683004356e-05,0.4,BaryCDI,235,3830,16.29787234042553,3595,0.8867196907285112
2.0501390683004356e-05,0.4,FFD,165,3830,23.21212121212121,3665,0.8917146773613733
2.0501390683004356e-05,0.4,Linear,735,3830,5.210884353741497,3095,0.8914071933345948
2.0501390683004356e-05,0.4,cold,3830,3830,1.0,0,1.1475942285256973
2.0501390683004356e-05,0.5,BaryCDI,245,3635,14.83673469387755,3390,0.8901626429441865
2.0501390683004356e-05,0.5,FFD,170,3635,21.38235294117647,3465,0.8933370255581541
2.0501390683004356e-05,0.5,Linear,640,3635,5.6796875,2995,0.8920246599353192
2.0501390683004356e-05,0.5,cold,3635,3635,1.0,0,1.147097592089421
2.0501390683004356e-05,0.6,BaryCDI,230,3575,15.543478260869565,3345,0.8871387981017766
2.0501390683004356e-05,0.6,FFD,170,3575,21.029411764705884,3405,0.88984437715373
2.0501390683004356e-05,0.6,Linear,615,3575,5.813008130081301,2960,0.8925978372844733
2.0501390683004356e-05,0.6,cold,3575,3575,1.0,0,1.1272488395294218
2.0501390683004356e-05,0.7,BaryCDI,190,3565,18.763157894736842,3375,0.8862151377866058
2.0501390683004356e-05,0.7,FFD,160,3565,22.28125,3405,0.8966419972530028
2.0501390683004356e-05,0.7,Linear,505,3565,7.0594059405940595,3060,0.8909830633474856
2.0501390683004356e-05,0.7,cold,3565,3565,1.0,0,1.1264903407518556
2.0501390683004356e-05,0.8,BaryCDI,160,3575,22.34375,3415,0.8840403940357099
2.0501390683004356e-05,0.8,FFD,145,3575,24.655172413793103,3430,0.8905387050721766
2.0501390683004356e-05,0.8,Linear,210,3575,17.023809523809526,3365,0.8892710053119885
2.0501390683004356e-05,0.8,cold,3575,3575,1.0,0,1.1204106090033423
2.0501390683004356e-05,0.9,BaryCDI,65,3470,53.38461538461539,3405,0.885205021879836
2.0501390683004356e-05,0.9,FFD,65,3470,53.38461538461539,3405,0.8895035396047564
2.0501390683004356e-05,0.9,Linear,10,3470,347.0,3460,0.8894620540618265
2.0501390683004356e-05,0.9,cold,3470,3470,1.0,0,1.1255893805120514
2.001237553643648e-05,0.1,BaryCDI,70,4130,59.0,4060,0.8934298421385293
2.001237553643648e-05,0.1,FFD,70,4130,59.0,4060,0.8929443147093572
2.001237553643648e-05,0.1,Linear,45,4130,91.77777777777777,4085,0.8924753054288207
2.001237553643648e-05,0.1,cold,4130,4130,1.0,0,1.1649273516980998
2.001237553643648e-05,0.2,BaryCDI,175,4050,23.142857142857142,3875,0.8957393858845564
2.001237553643648e-05,0.2,FFD,115,4050,35.21739130434783,3935,0.8937932629190988
2.001237553643648e-05,0.2,Linear,415,4050,9.759036144578314,3635,0.8943747689921108
2.001237553643648e-05,0.2,cold,4050,4050,1.0,0,1.1447014248823129
2.001237553643648e-05,0.3,BaryCDI,235,3960,16.851063829787233,3725,0.8895579842212692
2.001237553643648e-05,0.3,FFD,145,3960,27.310344827586206,3815,0.8911622442012646
2.001237553643648e-05,0.3,Linear,660,3960,6.0,3300,0.8878287412212785
2.001237553643648e-05,0.3,cold,3960,3960,1.0,0,1.1463235469443103
2.001237553643648e-05,0.4,BaryCDI,240,3900,16.25,3660,0.8867196907285112
2.001237553643648e-05,0.4,FFD,170,3900,22.941176470588236,3730,0.8917146773613733
2.001237553643648e-05,0.4,Linear,750,3900,5.2,3150,0.8914071933345948
2.001237553643648e-05,0.4,cold,3900,3900,1.0,0,1.1475942285256973
2.001237553643648e-05,0.5,BaryCDI,250,3680,14.72,3430,0.8901626429441865
2.001237553643648e-05,0.5,FFD,180,3680,20.444444444444443,3500,0.8933370255581541
2.001237553643648e-05,0.5,Linear,660,3680,5.575757575757576,3020,0.8920246599353192
2.001237553643648e-05,0.5,cold,3680,3680,1.0,0,1.147097592089421
2.001237553643648e-05,0.6,BaryCDI,240,3590,14.958333333333334,3350,0.8871387981017766
2.001237553643648e-05,0.6,FFD,175,3590,20.514285714285716,3415,0.88984437715373
2.001237553643648e-05,0.6,Linear,630,3590,5.698412698412699,2960,0.8925978372844733
2.001237553643648e-05,0.6,cold,3590,3590,1.0,0,1.1272488395294218
2.001237553643648e-05,0.7,BaryCDI,195,3595,18.435897435897434,3400,0.8862151377866058
2.001237553643648e-05,0.7,FFD,165,3595,21.78787878787879,3430,0.8966419972530028
2.001237553643648e-05,0.7,Linear,525,3595,6.847619047619047,3070,0.8909830633474856
2.001237553643648e-05,0.7,cold,3595,3595,1.0,0,1.1264903407518556
2.001237553643648e-05,0.8,BaryCDI,165,3600,21.818181818181817,3435,0.8840403940357099
2.001237553643648e-05,0.8,FFD,150,3600,24.0,3450,0.8905387050721766
2.001237553643648e-05,0.8,Linear,225,3600,16.0,3375,0.8892710053119885
2.001237553643648e-05,0.8,cold,3600,3600,1.0,0,1.1204106090033423
2.001237553643648e-05,0.9,BaryCDI,65,3490,53.69230769230769,3425,0.885205021879836
2.001237553643648e-05,0.9,FFD,65,3490,53.69230769230769,3425,0.8895035396047564
2.001237553643648e-05,0.9,Linear,15,3490,232.66666666666666,3475,0.8894620540618265
2.001237553643648e-05,0.9,cold,3490,3490,1.0,0,1.1255893805120514
1.9535024760216428e-05,0.1,BaryCDI,75,4270,56.93333333333333,4195,0.8934298421385293
1.9535024760216428e-05,0.1,FFD,75,4270,56.93333333333333,4195,0.8929443147093572
1.9535024760216428e-05,0.1,Linear,45,4270,94.88888888888889,4225,0.8924753054288207
1.9535024760216428e-05,0.1,cold,4270,4270,1.0,0,1.1649273516980998
1.9535024760216428e-05,0.2,BaryCDI,180,4085,22.694444444444443,3905,0.8957393858845564
1.9535024760216428e-05,0.2,FFD,120,4085,34.041666666666664,3965,0.8937932629190988
1.9535024760216428e-05,0.2,Linear,450,4085,9.077777777777778,3635,0.8943747689921108
1.9535024760216428e-05,0.2,cold,4085,4085,1.0,0,1.1447014248823129
1.9535024760216428e-05,0.3,BaryCDI,255,4040,15.843137254901961,3785,0.8895579842212692
1.9535024760216428e-05,0.3,FFD,150,4040,26.933333333333334,3890,0.8911622442012646
1.9535024760216428e-05,0.3,Linear,720,4040,5.611111111111111,3320,0.8878287412212785
1.9535024760216428e-05,0.3,cold,4040,4040,1.0,0,1.1463235469443103
1.9535024760216428e-05,0.4,BaryCDI,250,3930,15.72,3680,0.8867196907285112
1.9535024760216428e-05,0.4,FFD,175,3930,22.457142857142856,3755,0.8917146773613733
1.9535024760216428e-05,0.4,Linear,800,3930,4.9125,3130,0.8914071933345948
1.9535024760216428e-05,0.4,cold,3930,3930,1.0,0,1.1475942285256973
1.9535024760216428e-05,0.5,BaryCDI,260,3700,14.23076923076923,3440,0.8901626429441865
1.9535024760216428e-05,0.5,FFD,185,3700,20.0,3515,0.8933370255581541
1.9535024760216428e-05,0.5,Linear,725,3700,5.103448275862069,2975,0.8920246599353192
1.9535024760216428e-05,0.5,cold,3700,3700,1.0,0,1.147097592089421
1.9535024760216428e-05,0.6,BaryCDI,245,3645,14.877551020408163,3400,0.8871387981017766
1.9535024760216428e-05,0.6,FFD,180,3645,20.25,3465,0.88984437715373
1.9535024760216428e-05,0.6,Linear,670,3645,5.440298507462686,2975,0.8925978372844733
1.9535024760216428e-05,0.6,cold,3645,3645,1.0,0,1.1272488395294218
1.9535024760216428e-05,0.7,BaryCDI,205,3610,17.609756097560975,3405,0.8862151377866058
1.9535024760216428e-05,0.7,FFD,170,3610,21.235294117647058,3440,0.8966419972530028
1.9535024760216428e-05,0.7,Linear,560,3610,6.446428571428571,3050,0.8909830633474856
1.9535024760216428e-05,0.7,cold,3610,3610,1.0,0,1.1264903407518556
1.9535024760216428e-05,0.8,BaryCDI,170,3635,21.38235294117647,3465,0.8840403940357099
1.9535024760216428e-05,0.8,FFD,155,3635,23.451612903225808,3480,0.8905387050721766
1.9535024760216428e-05,0.8,Linear,245,3635,14.83673469387755,3390,0.8892710053119885
1.9535024760216428e-05,0.8,cold,3635,3635,1.0,0,1.1204106090033423
1.9535024760216428e-05,0.9,BaryCDI,70,3505,50.07142857142857,3435,0.885205021879836
1.9535024760216428e-05,0.9,FFD,70,3505,50.07142857142857,3435,0.8895035396047564
1.9535024760216428e-05,0.9,Linear,20,3505,175.25,3485,0.8894620540618265
1.9535024760216428e-05,0.9,cold,3505,3505,1.0,0,1.1255893805120514
1.906906012669312e-05,0.1,BaryCDI,80,4275,53.4375,4195,0.8934298421385293
1.906906012669312e-05,0.1,FFD,80,4275,53.4375,4195,0.8929443147093572
1.906906012669312e-05,0.1,Linear,50,4275,85.5,4225,0.8924753054288207
1.906906012669312e-05,0.1,cold,4275,4275,1.0,0,1.1649273516980998
1.906906012669312e-05,0.2,BaryCDI,185,4105,22.18918918918919,3920,0.8957393858845564
1.906906012669312e-05,0.2,FFD,125,4105,32.84,3980,0.8937932629190988
1.906906012669312e-05,0.2,Linear,485,4105,8.463917525773196,3620,0.8943747689921108
1.906906012669312e-05,0.2,cold,4105,4105,1.0,0,1.1447014248823129
1.906906012669312e-05,0.3,BaryCDI,290,4050,13.96551724137931,3760,0.8895579842212692
1.906906012669312e-05,0.3,FFD,160,4050,25.3125,3890,0.8911622442012646
1.906906012669312e-05,0.3,Linear,730,4050,5.5479452054794525,3320,0.8878287412212785
1.906906012669312e-05,0.3,cold,4050,4050,1.0,0,1.1463235469443103
1.906906012669312e-05,0.4,BaryCDI,260,3960,15.23076923076923,3700,0.8867196907285112
1.906906012669312e-05,0.4,FFD,185,3960,21.405405405405407,3775,0.8917146773613733
1.906906012669312e-05,0.4,Linear,865,3960,4.578034682080925,3095,0.8914071933345948
1.906906012669312e-05,0.4,cold,3960,3960,1.0,0,1.1475942285256973
1.906906012669312e-05,0.5,BaryCDI,275,3765,13.690909090909091,3490,0.8901626429441865
1.906906012669312e-05,0.5,FFD,190,3765,19.81578947368421,3575,0.8933370255581541
1.906906012669312e-05,0.5,Linear,740,3765,5.087837837837838,3025,0.8920246599353192
1.906906012669312e-05,0.5,cold,3765,3765,1.0,0,1.147097592089421
1.906906012669312e-05,0.6,BaryCDI,255,3680,14.431372549019608,3425,0.8871387981017766
1.906906012669312e-05,0.6,FFD,190,3680,19.36842105263158,3490,0.88984437715373
1.906906012669312e-05,0.6,Linear,695,3680,5.294964028776978,2985,0.8925978372844733
1.906906012669312e-05,0.6,cold,3680,3680,1.0,0,1.1272488395294218
1.906906012669312e-05,0.7,BaryCDI,215,3625,16.86046511627907,3410,0.8862151377866058
1.906906012669312e-05,0.7,FFD,180,3625,20.13888888888889,3445,0.8966419972530028
1.906906012669312e-05,0.7,Linear,590,3625,6.1440677966101696,3035,0.8909830633474856
1.906906012669312e-05,0.7,cold,3625,3625,1.0,0,1.1264903407518556
1.906906012669312e-05,0.8,BaryCDI,175,3640,20.8,3465,0.8840403940357099
1.906906012669312e-05,0.8,FFD,160,3640,22.75,3480,0.8905387050721766
1.906906012669312e-05,0.8,Linear,285,3640,12.771929824561404,3355,0.8892710053119885
1.906906012669312e-05,0.8,cold,3640,3640,1.0,0,1.1204106090033423
1.906906012669312e-05,0.9,BaryCDI,75,3540,47.2,3465,0.885205021879836
1.906906012669312e-05,0.9,FFD,75,3540,47.2,3465,0.8895035396047564
1.906906012669312e-05,0.9,Linear,20,3540,177.0,3520,0.8894620540618265
1.906906012669312e-05,0.9,cold,3540,3540,1.0,0,1.1255893805120514
1.86142100447181e-05,0.1,BaryCDI,85,4305,50.64705882352941,4220,0.8934298421385293
1.86142100447181e-05,0.1,FFD,80,4305,53.8125,4225,0.8929443147093572
1.86142100447181e-05,0.1,Linear,65,4305,66.23076923076923,4240,0.8924753054288207
1.86142100447181e-05,0.1,cold,4305,4305,1.0,0,1.1649273516980998
1.86142100447181e-05,0.2,BaryCDI,190,4255,22.394736842105264,4065,0.8957393858845564
1.86142100447181e-05,0.2,FFD,135,4255,31.51851851851852,4120,0.8937932629190988
1.86142100447181e-05,0.2,Linear,505,4255,8.425742574257425,3750,0.8943747689921108
1.86142100447181e-05,0.2,cold,4255,4255,1.0,0,1.1447014248823129
1.86142100447181e-05,0.3,BaryCDI,305,4120,13.508196721311476,3815,0.8895579842212692
1.86142100447181e-05,0.3,FFD,165,4120,24.96969696969697,3955,0.8911622442012646
1.86142100447181e-05,0.3,Linear,795,4120,5.182389937106918,3325,0.8878287412212785
1.86142100447181e-05,0.3,cold,4120,4120,1.0,0,1.1463235469443103
1.86142100447181e-05,0.4,BaryCDI,275,4030,14.654545454545454,3755,0.8867196907285112
1.86142100447181e-05,0.4,FFD,190,4030,21.210526315789473,3840,0.8917146773613733
1.86142100447181e-05,0.4,Linear,865,4030,4.658959537572255,3165,0.8914071933345948
1.86142100447181e-05,0.4,cold,4030,4030,1.0,0,1.1475942285256973
1.86142100447181e-05,0.5,BaryCDI,285,3780,13.263157894736842,3495,0.8901626429441865
1.86142100447181e-05,0.5,FFD,195,3780,19.384615384615383,3585,0.8933370255581541
1.86142100447181e-05,0.5,Linear,765,3780,4.9411764705882355,3015,0.8920246599353192
1.86142100447181e-05,0.5,cold,3780,3780,1.0,0,1.147097592089421
1.86142100447181e-05,0.6,BaryCDI,270,3740,13.851851851851851,3470,0.8871387981017766
1.86142100447181e-05,0.6,FFD,195,3740,19.17948717948718,3545,0.88984437715373
1.86142100447181e-05,0.6,Linear,700,3740,5.3428571428571425,3040,0.8925978372844733
1.86142100447181e-05,0.6,cold,3740,3740,1.0,0,1.1272488395294218
1.86142100447181e-05,0.7,BaryCDI,220,3670,16.681818181818183,3450,0.8862151377866058
1.86142100447181e-05,0.7,FFD,185,3670,19.83783783783784,3485,0.8966419972530028
1.86142100447181e-05,0.7,Linear,605,3670,6.066115702479339,3065,0.8909830633474856
1.86142100447181e-05,0.7,cold,3670,3670,1.0,0,1.1264903407518556
1.86142100447181e-05,0.8,BaryCDI,180,3670,20.38888888888889,3490,0.8840403940357099
1.86142100447181e-05,0.8,FFD,170,3670,21.58823529411765,3500,0.8905387050721766
1.86142100447181e-05,0.8,Linear,320,3670,11.46875,3350,0.8892710053119885
1.86142100447181e-05,0.8,cold,3670,3670,1.0,0,1.1204106090033423
1.86142100447181e-05,0.9,BaryCDI,80,3580,44.75,3500,0.885205021879836
1.86142100447181e-05,0.9,FFD,80,3580,44.75,3500,0.8895035396047564
1.86142100447181e-05,0.9,Linear,25,3580,143.2,3555,0.8894620540618265
1.86142100447181e-05,0.9,cold,3580,3580,1.0,0,1.1255893805120514
1.8170209401346632e-05,0.1,BaryCDI,115,4310,37.47826086956522,4195,0.8934298421385293
1.8170209401346632e-05,0.1,FFD,105,4310,41.04761904761905,4205,0.8929443147093572
1.8170209401346632e-05,0.1,Linear,85,4310,50.705882352941174,4225,0.8924753054288207
1.8170209401346632e-05,0.1,cold,4310,4310,1.0,0,1.1649273516980998
1.8170209401346632e-05,0.2,BaryCDI,200,4275,21.375,4075,0.8957393858845564
1.8170209401346632e-05,0.2,FFD,145,4275,29.482758620689655,4130,0.8937932629190988
1.8170209401346632e-05,0.2,Linear,525,4275,8.142857142857142,3750,0.8943747689921108
