t,mach,variant,repeat,dt,n_steps_total,tol,steps_to_tol,speedup,per_step_ms,per_step_ms_raw,time_to_tol_s,wall_time_s,rel_min,cd,cl,deltaS,init_repair_count,init_rho_min,init_p_min,tag
0.6,2.3,BaryCDI,0,0.00034492340637370944,11597,3.3623330637055915e-05,75,38.46666666666667,0.8871387981017766,0.8871387981017766,0.06653540985763326,10.288148641586304,8.037957741180435e-06,0.014097947627305984,0.0004633041680790484,0.041615039110183716,0,0.7797625580145385,0.7238953614475824,ws_oblique_t0.60_BaryCDI
0.6,2.3,FFD,0,0.00034492340637370944,11597,3.3623330637055915e-05,55,52.45454545454545,0.8871387981017766,0.88984437715373,0.048792633895597716,10.319525241851807,7.85734664532356e-06,0.014102285727858543,0.0005161121371202171,0.04174992814660072,0,0.7791253155190122,0.7238377646937305,ws_oblique_t0.60_FFD
0.6,2.3,Linear,0,0.00034492340637370944,11597,3.3623330637055915e-05,90,32.05555555555556,0.8871387981017766,0.8925978372844733,0.0798424918291599,10.351457118988037,6.901024789840449e-06,0.01409726683050394,0.00040306372102349997,0.04161125421524048,0,0.7725330233573913,0.7232244372367863,ws_oblique_t0.60_Linear
0.6,2.3,cold,0,0.00034492340637370944,11597,3.3623330637055915e-05,2885,1.0,0.8871387981017766,1.1272488395294218,2.5593954325236257,13.072704792022705,8.187811545212753e-06,0.014102049171924591,0.0005177902057766914,0.04184800386428833,,,,ws_oblique_t0.60_cold
0.7,2.35,BaryCDI,0,0.00034014409175142646,11760,3.3623330637055915e-05,65,44.23076923076923,0.8862151377866058,0.8862151377866058,0.057603983956129375,10.421890020370483,5.7665547501528636e-06,0.013708877377212048,0.00047936581540852785,0.042844124138355255,0,0.7758845654718617,0.7197875999686071,ws_oblique_t0.70_BaryCDI
0.7,2.35,FFD,0,0.00034014409175142646,11760,3.3623330637055915e-05,55,52.27272727272727,0.8862151377866058,0.8966419972530028,0.04874183257826332,10.544509887695312,6.0540087361005135e-06,0.013709453865885735,0.0004956575576215982,0.04300151765346527,0,0.7752645279181074,0.7197797759905408,ws_oblique_t0.70_FFD
0.7,2.35,Linear,0,0.00034014409175142646,11760,3.3623330637055915e-05,50,57.5,0.8862151377866058,0.8909830633474856,0.04431075688933028,10.47796082496643,5.859893008164363e-06,0.013704226352274418,0.0004212432831991464,0.04291590303182602,0,0.7695918262004853,0.7193917512893677,ws_oblique_t0.70_Linear
0.7,2.35,cold,0,0.00034014409175142646,11760,3.3623330637055915e-05,2875,1.0,0.8862151377866058,1.1264903407518556,2.5478685211364915,13.247526407241821,5.98571750742849e-06,0.013712753541767597,0.0005012718611396849,0.04320370778441429,,,,ws_oblique_t0.70_cold
0.8,2.4,BaryCDI,0,0.00033549609361216426,11923,3.3623330637055915e-05,50,57.7,0.8840403940357099,0.8840403940357099,0.04420201970178549,10.540413618087769,8.323586371261626e-06,0.013339744880795479,0.00048296095337718725,0.04420367255806923,0,0.7718560410780643,0.7156420840163283,ws_oblique_t0.80_BaryCDI
0.8,2.4,FFD,0,0.00033549609361216426,11923,3.3623330637055915e-05,50,57.7,0.8840403940357099,0.8905387050721766,0.04420201970178549,10.617892980575562,8.68201459525153e-06,0.013341671787202358,0.000495838699862361,0.04440478980541229,0,0.771383641935141,0.7156188696601337,ws_oblique_t0.80_FFD
0.8,2.4,Linear,0,0.00033549609361216426,11923,3.3623330637055915e-05,15,192.33333333333334,0.8840403940357099,0.8892710053119885,0.013260605910535649,10.602778196334839,8.316418643516954e-06,0.013334006071090698,0.00040427345084026456,0.04424211010336876,0,0.7666506290435791,0.7153405070304867,ws_oblique_t0.80_Linear
0.8,2.4,cold,0,0.00033549609361216426,11923,3.3623330637055915e-05,2885,1.0,0.8840403940357099,1.1204106090033423,2.550456536793023,13.35865569114685,8.492791494063567e-06,0.01334459986537695,0.00047307860222645104,0.044459450989961624,,,,ws_oblique_t0.80_cold
0.9,2.45,BaryCDI,0,0.0003309739986434579,12086,3.3623330637055915e-05,30,94.66666666666667,0.885205021879836,0.885205021879836,0.026556150656395078,10.698587894439697,5.83414430366247e-06,0.012989183887839317,0.0004414368304423988,0.04571528732776642,0,0.767748385870141,0.7114589358979636,ws_oblique_t0.90_BaryCDI
0.9,2.45,FFD,0,0.0003309739986434579,12086,3.3623330637055915e-05,30,94.66666666666667,0.885205021879836,0.8895035396047564,0.026556150656395078,10.750539779663086,6.080505499994615e-06,0.01298750750720501,0.00043968489626422524,0.04586504027247429,0,0.7674826437750031,0.7114380238489503,ws_oblique_t0.90_FFD
0.9,2.45,Linear,0,0.0003309739986434579,12086,3.3623330637055915e-05,5,568.0,0.885205021879836,0.8894620540618265,0.00442602510939918,10.750038385391235,5.910497293371009e-06,0.012988564558327198,0.0004426550294738263,0.04570235311985016,0,0.7637094318866731,0.7112892627716063,ws_oblique_t0.90_Linear
0.9,2.45,cold,0,0.0003309739986434579,12086,3.3623330637055915e-05,2840,1.0,0.885205021879836,1.1255893805120514,2.513982262138734,13.603873252868652,6.396975095412927e-06,0.012991293333470821,0.00041374817374162376,0.045907989144325256,,,,ws_oblique_t0.90_cold
