t,mach,variant,repeat,dt,n_steps_total,tol,steps_to_tol,speedup,per_step_ms,per_step_ms_raw,time_to_tol_s,wall_time_s,rel_min,cd,cl,deltaS,init_repair_count,init_rho_min,init_p_min,tag
0.3,2.15,Linear,0,0.0003601067583076656,11108,3.3623330637055915e-05,65,46.38461538461539,0.8881951048084845,0.8881951048084845,0.05773268181255149,9.866071224212646,1.0519607712922152e-05,0.015423640608787537,0.0004680159909185022,0.03803319111466408,0,0.7813566148281097,0.730756151676178,ws_ffd_t0.30_Linear
0.3,2.15,cold,0,0.0003601067583076656,11108,3.3623330637055915e-05,3015,1.0,0.8881951048084845,1.137368984689462,2.677908240997581,12.633894681930542,1.0716913493524771e-05,0.015424864366650581,0.00047686940524727106,0.03823061287403107,,,,ws_ffd_t0.30_cold
0.4,2.2,BaryCDI,0,0.00035489851143211126,11271,3.3623330637055915e-05,80,36.875,0.8876356487529702,0.8876356487529702,0.0710108519002376,10.004541397094727,1.0713852134358604e-05,0.014957375824451447,0.0005114488885737956,0.039176687598228455,0,0.7869037989333484,0.7318013179551359,ws_ffd_t0.40_BaryCDI
0.4,2.2,FFD,0,0.00035489851143211126,11271,3.3623330637055915e-05,55,53.63636363636363,0.8876356487529702,0.8892148254546158,0.048819960681413366,10.022340297698975,9.432545084564481e-06,0.014953330159187317,0.0004634401702787727,0.039193592965602875,0,0.7866359009946391,0.7318406571891085,ws_ffd_t0.40_FFD
0.4,2.2,Linear,0,0.00035489851143211126,11271,3.3623330637055915e-05,135,21.85185185185185,0.8876356487529702,0.8884389021203931,0.11983081258165097,10.01359486579895,1.0140143785974942e-05,0.014953624457120895,0.0004713107773568481,0.039087146520614624,0,0.7784154176712036,0.7282455801963812,ws_ffd_t0.40_Linear
0.4,2.2,cold,0,0.00035489851143211126,11271,3.3623330637055915e-05,2950,1.0,0.8876356487529702,1.1335285054094228,2.6185251638212623,12.775999784469604,1.0177482181461528e-05,0.014959277585148811,0.0005393995670601726,0.03932267427444458,,,,ws_ffd_t0.40_cold
0.5,2.25,BaryCDI,0,0.00034983950899913907,11434,3.3623330637055915e-05,85,34.05882352941177,0.8865893252020598,0.8865893252020598,0.0753600926421751,10.137262344360352,6.4430973907292355e-06,0.014514129608869553,0.0004669451154768467,0.04031609743833542,0,0.7832019583677643,0.7277607408736841,ws_ffd_t0.50_BaryCDI
0.5,2.25,FFD,0,0.00034983950899913907,11434,3.3623330637055915e-05,60,48.25,0.8865893252020598,0.8888829102648791,0.05319535951212359,10.163487195968628,6.559430858033011e-06,0.014517302624881268,0.0005117884138599038,0.04049285128712654,0,0.7829659897473193,0.7278857199757269,ws_ffd_t0.50_FFD
0.5,2.25,Linear,0,0.00034983950899913907,11434,3.3623330637055915e-05,155,18.677419354838708,0.8865893252020598,0.8882274364119792,0.13742134540631926,10.15599250793457,7.0011024035920855e-06,0.014511247165501118,0.00043445374467410147,0.04031835496425629,0,0.7754742205142975,0.7257350087165835,ws_ffd_t0.50_Linear
0.5,2.25,cold,0,0.00034983950899913907,11434,3.3623330637055915e-05,2895,1.0,0.8865893252020598,1.130745276217071,2.566676096459963,12.928941488265991,6.782772743463283e-06,0.014518425799906254,0.0005319761694408953,0.040548890829086304,,,,ws_ffd_t0.50_cold
0.6,2.3,BaryCDI,0,0.00034492340637370944,11597,3.3623330637055915e-05,80,36.0625,0.8875507521836976,0.8875507521836976,0.07100406017469581,10.29292607307434,7.851762347854674e-06,0.014098258689045906,0.00046452146489173174,0.04161015525460243,0,0.7793518336764771,0.7236988323290848,ws_ffd_t0.60_BaryCDI
0.6,2.3,FFD,0,0.00034492340637370944,11597,3.3623330637055915e-05,55,52.45454545454545,0.8875507521836976,0.8876380030632102,0.04881529137010337,10.293937921524048,7.85734664532356e-06,0.014102285727858543,0.0005161121371202171,0.04174992814660072,0,0.7791253155190122,0.7238377646937305,ws_ffd_t0.60_FFD
0.6,2.3,Linear,0,0.00034492340637370944,11597,3.3623330637055915e-05,90,32.05555555555556,0.8875507521836976,0.8884360073372816,0.07987956769653279,10.303192377090454,6.901024789840449e-06,0.01409726683050394,0.00040306372102349997,0.04161125421524048,0,0.7725330233573913,0.7232244372367863,ws_ffd_t0.60_Linear
0.6,2.3,cold,0,0.00034492340637370944,11597,3.3623330637055915e-05,2885,1.0,0.8875507521836976,1.1260857343200856,2.5605839200499676,13.059216260910034,8.187811545212753e-06,0.014102049171924591,0.0005177902057766914,0.04184800386428833,,,,ws_ffd_t0.60_cold
0.7,2.35,BaryCDI,0,0.00034014409175142646,11760,3.3623330637055915e-05,70,41.07142857142857,0.8914315984362647,0.8914315984362647,0.06240021189053853,10.483235597610474,5.835364390804898e-06,0.013708412647247314,0.0004761510354001075,0.042898718267679214,0,0.7754627569021956,0.7196156123648221,ws_ffd_t0.70_BaryCDI
0.7,2.35,FFD,0,0.00034014409175142646,11760,3.3623330637055915e-05,55,52.27272727272727,0.8914315984362647,0.8914588462738764,0.04902873791399456,10.483556032180786,6.0540087361005135e-06,0.013709453865885735,0.0004956575576215982,0.04300151765346527,0,0.7752645279181074,0.7197797759905408,ws_ffd_t0.70_FFD
