hmode,h,axis,aoa,n_cells,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_cd_err_mean,Linear_cd_err_mean,FFD_cd_err_mean,BaryCDI_cl_err_mean,Linear_cl_err_mean,FFD_cl_err_mean,BaryCDI_cl_abs_max,Linear_cl_abs_max,FFD_cl_abs_max,cd_ref_mean,cl_ref_mean,ffd_backfilled,BaryCDI_l2band_mean,Linear_l2band_mean,FFD_l2band_mean,BaryCDI_dbeta_mean,Linear_dbeta_mean,FFD_dbeta_mean,BaryCDI_sharpness,Linear_sharpness,FFD_sharpness,BaryCDI_rh_mean,Linear_rh_mean,FFD_rh_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_res_l2,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
det,0.025,mach,0.0,20190,null,5e-06,16,0.0134325427511532,0.008375427552293764,0.0020305250872881546,0.2664781168702559,0.12418022155761754,0.12133426887812693,0.1391709680188049,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103.39216030715033,0.24091891525313258,103.63307922240347,25.62207785100327,0.17662644598749466,25.798704296990763,0.00022846506908535957,0.0010776449926197529,0.24222723813727498,1.2528905686301641,nan,False,6860,103.39216030715033,0,0,0.01829748396950221,2.189273604125272e+91,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin5e-06
det,0.025,mach,0.0,20190,null,1e-05,15,0.011629519631526544,0.008375427552293764,0.0020305250872881546,0.28680859940188785,0.12418022155761754,0.12133426887812693,0.1322316964996859,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.780898188008,0.285268809995614,101.06616699800361,25.62207785100327,0.17662644598749466,25.798704296990763,0.0002291149867232889,0.0010822619951795787,0.2865822809981182,1.0305551746265422,nan,False,5860,100.780898188008,0,0,0.007168113952305694,1.0448812183071944e+81,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin1e-05
det,0.025,mach,0.0,20190,null,2e-05,14,0.0073763901627942425,0.008375427552293764,0.0020305250872881546,0.1730457408479431,0.12418022155761754,0.12133426887812693,0.1439027746965029,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99.66786948312074,0.31230914779007435,99.98017863091081,25.62207785100327,0.17662644598749466,25.798704296990763,0.00032017286866903305,0.0010774252004921436,0.313708980102092,1.2880684471431891,nan,False,4860,99.66786948312074,0,0,0.006919519896782915,1.102506083010901e+77,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin2e-05
det,0.025,mach,0.0,20190,null,5e-05,13,0.003746777120833799,0.008375427552293764,0.0020305250872881546,0.12593826759441074,0.12418022155761754,0.12133426887812693,0.08910299683545027,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.04582651192322,0.2257741498760879,96.27160066179931,25.62207785100327,0.17662644598749466,25.798704296990763,0.0002393508329987526,0.0010781860910356045,0.22709399973973632,0.015173254485688403,nan,False,3860,96.04582651192322,0,0,0.005387855553358511,1.0363752791763875e+178,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin5e-05
det,0.025,mach,0.0,20190,null,0.0001,12,0.0036437568381726543,0.008375427552293764,0.0020305250872881546,0.09366986132448618,0.12418022155761754,0.12133426887812693,0.03336049087454531,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.91763444797834,0.22053833500831388,93.13817278298666,25.62207785100327,0.17662644598749466,25.798704296990763,0.00022663199342787266,0.001076001994078979,0.22184274197206832,9.251706956092676e-08,nan,True,2860,92.91763444797834,0,0,0.005884825741177559,1.0503804279272142e+116,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin0.0001
det,0.025,mach,0.0,20190,null,0.0002,11,0.003617271887410132,0.008375427552293764,0.0020305250872881546,0.10094085655840024,0.12418022155761754,0.12133426887812693,0.03362591078438181,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,91.79275241028517,0.27623382303863764,92.06898623332381,25.62207785100327,0.17662644598749466,25.798704296990763,0.00033340277150273323,0.0010870886035263538,0.27765661757439375,9.989651061914628e-08,nan,True,2156,91.79275241028517,0,0,0.006828010897319773,1.0504482024275969e+89,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin0.0002
det,0.025,mach,0.0,20190,null,0.0005,10,0.0035735648065702763,0.008375427552293764,0.0020305250872881546,0.11764184618087548,0.12418022155761754,0.12133426887812693,0.03348622496081985,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88.37803138513118,0.22115600388497114,88.59918738901615,25.62207785100327,0.17662644598749466,25.798704296990763,0.0002465518191456795,0.0010775248520076275,0.22248260490596294,9.963079605768144e-08,nan,True,1510,88.37803138513118,0,0,0.009283462204906771,4.50392449001624e+62,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin0.0005
det,0.025,mach,0.0,20190,null,0.001,9,0.0036332338385198365,0.008375427552293764,0.0020305250872881546,0.12714905218060402,0.12418022155761754,0.12133426887812693,0.033545212240542105,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85.99979967900435,0.27112091999151744,86.27092059899587,25.62207785100327,0.17662644598749466,25.798704296990763,0.0011134700034745038,0.0011011010210495442,0.27333751300466247,9.706727155389672e-08,nan,True,1055,85.99979967900435,0,0,0.012804528685307036,5.686294428788997e+44,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin0.001
det,0.025,mach,0.0,20190,null,0.002,8,0.0038654455846983634,0.008375427552293764,0.0020305250872881546,0.17957496586852084,0.12418022155761754,0.12133426887812693,0.03387105007804686,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.2951166271232,0.2532901088707149,83.54840673599392,25.62207785100327,0.17662644598749466,25.798704296990763,0.0011598188430070877,0.0011141709983348846,0.2555667031556368,9.35283352987426e-08,nan,True,715,83.2951166271232,0,0,0.018691169606107342,4.373223612267542e+28,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin0.002
det,0.025,mach,0.0,20190,null,0.005,7,0.004583708654078296,0.008375427552293764,0.0020305250872881546,0.18512168934042839,0.12418022155761754,0.12133426887812693,0.03556294028849638,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78.70801411569118,0.2731148018501699,78.98112891754135,25.62207785100327,0.17662644598749466,25.798704296990763,0.0009144898504018784,0.001114371232688427,0.27514622500166297,9.938530354247632e-08,nan,True,407,78.70801411569118,0,0,0.028476774874727964,2129876537666.7913,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin0.005
