hmode,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
eig,ffd,0.2,2,0.01976780911330637,0.008375427552293764,0.0022568151728812784,0.38187023088668726,0.12418022155761754,0.10146390715689924,0.26733793891170876,0.04863431468896161,0.024668115532576737,48.455236362759024,0.2355136489495635,48.69075001170859,29.952008889988065,0.20634035114198923,30.158349241130054,0.0010357708670198917,0.0011196481063961983,0.4440162112005055,1.411216277169558e-08,True,19,48.455236362759024,0,0,0.24255750022820172,1.732610313541238,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.2
eig,ffd,0.5,1,0.02531636864670427,0.008375427552293764,0.0022568151728812784,0.39427315623330106,0.12418022155761754,0.10146390715689924,0.2937110439977084,0.04863431468896161,0.024668115532576737,31.187354690977372,0.24206516399863176,31.429419854976004,27.65102363200276,0.17404107499169186,27.825064706994453,0.0008356000180356205,0.0011626430205069482,0.41811107101966627,2.5086577259969545e-09,True,8,31.187354690977372,0,0,0.47014706968878167,1.1825156143510596,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_ffd/gmin0.5
eig,null,1e-06,18,0.014393092977176867,0.008375427552293764,nan,0.2948121043715175,0.12418022155761754,nan,0.17427339238139028,0.04863431468896161,nan,102.01837439602241,0.2924793381243944,102.3108537341468,nan,nan,nan,0.00024314690381288528,0.0010749208740890026,0.29379948880523443,3.9231572910762793,False,9277,102.01837439602241,0,0,0.021697820020337485,8.799081597340358e+125,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin1e-06
eig,null,2e-06,17,0.014311167459004515,0.008375427552293764,nan,0.29475884249388695,0.12418022155761754,nan,0.17253533466005483,0.04863431468896161,nan,98.26843361702049,0.2903849499998614,98.55881856702035,nan,nan,nan,0.00022738298866897821,0.0010712149960454553,0.29168537000077777,0.7155262323856277,False,8277,98.26843361702049,0,0,0.010785979536697842,9.81816453543741e+108,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin2e-06
eig,null,5e-06,16,0.013622270100462379,0.008375427552293764,nan,0.29458856289565194,0.12418022155761754,nan,0.17051293584568603,0.04863431468896161,nan,95.67537467414513,0.2430227780714631,95.9183974522166,nan,nan,nan,0.00023542484268546104,0.0010766140185296535,0.24433741113170981,2.270348611074553,False,7277,95.67537467414513,0,0,0.001245740726707062,3.78333120141353e+101,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin5e-06
eig,null,1e-05,15,0.010986978017934646,0.008375427552293764,nan,0.28115504741997954,0.12418022155761754,nan,0.17421537123663675,0.04863431468896161,nan,93.22251073800726,0.28639898999244906,93.50890972799971,nan,nan,nan,0.0008102020074147731,0.0010795770213007927,0.28829035101807676,0.9101950453439827,False,6277,93.22251073800726,0,0,0.0019929805348293623,4.396525016317463e+93,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin1e-05
eig,null,2e-05,14,0.007030314033227853,0.008375427552293764,nan,0.16716464195954983,0.12418022155761754,nan,0.1993190781351816,0.04863431468896161,nan,90.24848113721237,0.29456324595957994,90.54304438317195,nan,nan,nan,0.0008791657164692879,0.0010914374142885208,0.2965360623784363,1.6785438134013475,False,5277,90.24848113721237,0,0,0.0026728250303735186,5.208656121146268e+78,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin2e-05
eig,null,5e-05,13,0.005383536659923086,0.008375427552293764,nan,0.14735642413893113,0.12418022155761754,nan,0.21208206324707846,0.04863431468896161,nan,87.35440616001142,0.27626807600609027,87.63067423601751,nan,nan,nan,0.00022630099556408823,0.0010766930063255131,0.27757274301256984,0.020485328336349085,False,4277,87.35440616001142,0,0,0.005112004461231718,2.692388836604599e+181,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin5e-05
eig,null,0.0001,12,0.004182014350505113,0.008375427552293764,nan,0.13299002818207928,0.12418022155761754,nan,0.13202767889289066,0.04863431468896161,nan,85.29108660994098,0.2745415079407394,85.56562811788172,nan,nan,nan,0.0002341228537261486,0.0010892529971897602,0.2758668172173202,0.0018731883480995748,False,3277,85.29108660994098,0,0,0.005270339208969446,2.943676605463865e+207,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.0001
eig,null,0.0002,11,0.0033184683773100337,0.008375427552293764,nan,0.08697677229451006,0.12418022155761754,nan,0.030287938840957103,0.04863431468896161,nan,82.14535509608686,0.2663174238987267,82.41167251998559,nan,nan,nan,0.00038897572085261345,0.001085928175598383,0.2677947310730815,7.688732398491993e-05,False,2277,82.14535509608686,0,0,0.005151077529703381,4.268779439797749e+225,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.0002
eig,null,0.0005,10,0.003298878881655745,0.008375427552293764,nan,0.1089697878459468,0.12418022155761754,nan,0.029640627803085448,0.04863431468896161,nan,78.2955799587071,0.2710284758359194,78.56660843454301,nan,nan,nan,0.0002369568683207035,0.0010806801728904247,0.2723486484028399,8.20492971342901e-08,True,1277,78.2955799587071,0,0,0.004138841123636549,1.888306279529448e+113,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.0005
