axis,interval,lo,hi,mid,width,regime,aoa,h,drift,gamma,method,mean,std,max,ipfp_res,converged
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.010132801448620783,0.0023428283571184185,0.012730275826772709,7.782253774735182e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.022609540629959877,0.006676771723793386,0.02979689476022879,7.782253774735182e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.014197419771208423,0.0034989925096030024,0.018080946033516374,9.630666397697496e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,ffd,0.0001,FFD,0.010132801448620783,0.0023428283571184185,0.012730275826772709,9.630666397697496e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,ffd,0.0001,Linear,0.022609540629959877,0.006676771723793386,0.02979689476022879,9.630666397697496e-08,True
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,null,0.0001,BaryCDI,0.01694557491427655,0.00399083076132051,0.02184301179509739,0.0960183370424943,False
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,null,0.0001,FFD,0.01010982549009215,0.0023368663671361435,0.012722977579736975,0.0960183370424943,False
mach,M1.20-1.30,1.2,1.3,1.25,0.1,attached,0.0,0.025,null,0.0001,Linear,0.022609540629959877,0.006676771723793386,0.02979689476022879,0.0960183370424943,False
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.011631453934045922,0.0033504183187874617,0.015421635100654573,1.9072934200892178e-06,False
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.007322013576182788,0.0015455751615696385,0.009075266907973244,1.9072934200892178e-06,False
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.018135030815605028,0.005611454137959697,0.024237891567038674,1.9072934200892178e-06,False
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.01224038793823145,0.003371022622837112,0.01606588338076701,9.302749504058738e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,ffd,0.0001,FFD,0.007322013576182788,0.0015455751615696385,0.009075266907973244,9.302749504058738e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,ffd,0.0001,Linear,0.018135030815605028,0.005611454137959697,0.024237891567038674,9.302749504058738e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,null,0.0001,BaryCDI,0.011861384302865041,0.003241690420011623,0.015549834884042104,9.341825091269129e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,null,0.0001,FFD,0.007322013576182788,0.0015455751615696385,0.009075266907973244,9.341825091269129e-08,True
mach,M1.30-1.40,1.3,1.4,1.35,0.1,attached,0.0,0.025,null,0.0001,Linear,0.018135030815605028,0.005611454137959697,0.024237891567038674,9.341825091269129e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.008696878209222037,0.0023770698744379347,0.011495833856096874,9.78688987629539e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.005388262043534889,0.0009299367190269726,0.006427842729539995,9.78688987629539e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.013551469054970653,0.004233615086180692,0.018286540930916483,9.78688987629539e-08,True
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.009617502247855602,0.0025254640523739236,0.012493207138203307,5.016422051085101e-07,False
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,ffd,0.0001,FFD,0.005388261984390099,0.0009299366865889174,0.006427842646537922,5.016422051085101e-07,False
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,ffd,0.0001,Linear,0.013551469054970653,0.004233615086180692,0.018286540930916483,5.016422051085101e-07,False
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,null,0.0001,BaryCDI,0.009202821447067223,0.0023218420186039714,0.011830573561472577,4.0838244785845745e-07,False
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,null,0.0001,FFD,0.005388261984390099,0.0009299366865889174,0.006427842646537922,4.0838244785845745e-07,False
mach,M1.40-1.50,1.4,1.5,1.45,0.1,attached,0.0,0.025,null,0.0001,Linear,0.013551469054970653,0.004233615086180692,0.018286540930916483,4.0838244785845745e-07,False
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.008279899893764712,0.001945546199542529,0.010321161766165696,9.896677255483155e-08,True
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.004539862950201494,0.0007394612421996317,0.005243912136818084,9.896677255483155e-08,True
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.010434668505040013,0.0032395673694303527,0.01408429873066976,9.896677255483155e-08,True
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.00927094545230498,0.002307519157466726,0.011682399887796504,9.964350056179683e-08,True
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,ffd,0.0001,FFD,0.004539862950201494,0.0007394612421996317,0.005243912136818084,9.964350056179683e-08,True
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,ffd,0.0001,Linear,0.010434668505040013,0.0032395673694303527,0.01408429873066976,9.964350056179683e-08,True
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,null,0.0001,BaryCDI,0.009055615717615293,0.0020311000447244634,0.011069195365804424,1.3618483173161167e-05,False
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,null,0.0001,FFD,0.00453863614086832,0.0007381248184750239,0.00525104559599267,1.3618483173161167e-05,False
mach,M1.50-1.60,1.5,1.6,1.55,0.1,attached,0.0,0.025,null,0.0001,Linear,0.010434668505040013,0.0032395673694303527,0.01408429873066976,1.3618483173161167e-05,False
mach,M1.60-1.70,1.6,1.7,1.65,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,BaryCDI,0.008888792071212267,0.002547601509513314,0.010960828273596051,8.97108876074526e-08,True
mach,M1.60-1.70,1.6,1.7,1.65,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,FFD,0.006620129002678064,0.002488770004221275,0.010001539509482233,8.97108876074526e-08,True
mach,M1.60-1.70,1.6,1.7,1.65,0.1,attached,0.0,0.025,SBsquared_exact+ffd,0.0001,Linear,0.00903601512107888,0.002738970553396401,0.011586829369127413,8.97108876074526e-08,True
mach,M1.60-1.70,1.6,1.7,1.65,0.1,attached,0.0,0.025,ffd,0.0001,BaryCDI,0.00991225338982864,0.0030485199663963154,0.0124305300006171,9.969947001309265e-08,True
